Bidding Exercise,Announcement Date,Year,Category,Quota,Quota Premium,Total Bids Received,Number of Successful Bids,,,,,,,,,,,
February 2011 First Open Bidding Exercise,09/02/2011,2011,Cat E (Open),333,"$58,890",648,326,,,,,,,,,,,
January 2011 Second Open Bidding Exercise,19/01/2011,2011,Cat A (Cars up to 1600cc and 97kW),607,"$40,123","1,091",606,,,,,,,,,,,
January 2011 Second Open Bidding Exercise,19/01/2011,2011,Cat B (Cars above 1600cc or 97kW),483,"$58,910",700,482,,,,,,,,,,,
January 2011 Second Open Bidding Exercise,19/01/2011,2011,Cat D (Motorcycles),339,"$1,690",458,335,,,,,,,,,,,
January 2011 Second Open Bidding Exercise,19/01/2011,2011,Cat C (Goods vehicles and buses),207,"$30,000",272,196,,,,,,,,,,,
January 2011 Second Open Bidding Exercise,19/01/2011,2011,Cat E (Open),319,"$67,009",433,312,,,,,,,,,,,
January 2011 First Open Bidding Exercise,05/01/2011,2011,Cat A (Cars up to 1600cc and 97kW),614,"$38,889","1,192",602,,,,,,,,,,,
January 2011 First Open Bidding Exercise,05/01/2011,2011,Cat B (Cars above 1600cc or 97kW),481,"$69,000",790,474,,,,,,,,,,,
January 2011 First Open Bidding Exercise,05/01/2011,2011,Cat D (Motorcycles),340,"$1,503",398,337,,,,,,,,,,,
January 2011 First Open Bidding Exercise,05/01/2011,2011,Cat C (Goods vehicles and buses),205,"$35,111",294,205,,,,,,,,,,,
January 2011 First Open Bidding Exercise,05/01/2011,2011,Cat E (Open),309,"$75,789",475,305,,,,,,,,,,,
December 2010 Second Open Bidding Exercise,22/12/2010,2010,Cat A (Cars up to 1600cc and 97kW),617,"$46,129",755,607,,,,,,,,,,,
December 2010 Second Open Bidding Exercise,22/12/2010,2010,Cat B (Cars above 1600cc or 97kW),499,"$72,001",872,494,,,,,,,,,,,
December 2010 Second Open Bidding Exercise,22/12/2010,2010,Cat D (Motorcycles),369,"$1,551",406,362,,,,,,,,,,,
December 2010 Second Open Bidding Exercise,22/12/2010,2010,Cat C (Goods vehicles and buses),208,"$33,501",300,205,,,,,,,,,,,
December 2010 Second Open Bidding Exercise,22/12/2010,2010,Cat E (Open),311,"$76,102",463,302,,,,,,,,,,,
December 2010 First Open Bidding Exercise,08/12/2010,2010,Cat A (Cars up to 1600cc and 97kW),598,"$47,604","1,020",582,,,,,,,,,,,
December 2010 First Open Bidding Exercise,08/12/2010,2010,Cat B (Cars above 1600cc or 97kW),479,"$62,502","1,034",477,,,,,,,,,,,
December 2010 First Open Bidding Exercise,08/12/2010,2010,Cat D (Motorcycles),337,"$1,701",410,329,,,,,,,,,,,
December 2010 First Open Bidding Exercise,08/12/2010,2010,Cat C (Goods vehicles and buses),208,"$32,001",294,207,,,,,,,,,,,
December 2010 First Open Bidding Exercise,08/12/2010,2010,Cat E (Open),313,"$64,900",674,313,,,,,,,,,,,
November 2010 Second Open Bidding Exercise,18/11/2010,2010,Cat A (Cars up to 1600cc and 97kW),597,"$39,000",833,577,,,,,,,,,,,
November 2010 Second Open Bidding Exercise,18/11/2010,2010,Cat B (Cars above 1600cc or 97kW),480,"$47,890",709,459,,,,,,,,,,,
November 2010 Second Open Bidding Exercise,18/11/2010,2010,Cat D (Motorcycles),361,"$1,502",424,324,,,,,,,,,,,
November 2010 Second Open Bidding Exercise,18/11/2010,2010,Cat C (Goods vehicles and buses),205,"$31,202",241,202,,,,,,,,,,,
November 2010 Second Open Bidding Exercise,18/11/2010,2010,Cat E (Open),333,"$49,890",634,332,,,,,,,,,,,
November 2010 First Open Bidding Exercise,03/11/2010,2010,Cat A (Cars up to 1600cc and 97kW),598,"$34,001",843,598,,,,,,,,,,,
November 2010 First Open Bidding Exercise,03/11/2010,2010,Cat B (Cars above 1600cc or 97kW),482,"$45,501",718,482,,,,,,,,,,,
November 2010 First Open Bidding Exercise,03/11/2010,2010,Cat D (Motorcycles),357,"$1,452",414,352,,,,,,,,,,,
November 2010 First Open Bidding Exercise,03/11/2010,2010,Cat C (Goods vehicles and buses),205,"$31,006",270,201,,,,,,,,,,,
November 2010 First Open Bidding Exercise,03/11/2010,2010,Cat E (Open),316,"$46,001",497,312,,,,,,,,,,,
October 2010 Second Open Bidding Exercise,20/10/2010,2010,Cat A (Cars up to 1600cc and 97kW),647,"$32,415",817,647,,,,,,,,,,,
October 2010 Second Open Bidding Exercise,20/10/2010,2010,Cat B (Cars above 1600cc or 97kW),479,"$44,600",766,478,,,,,,,,,,,
October 2010 Second Open Bidding Exercise,20/10/2010,2010,Cat D (Motorcycles),333,"$1,689",430,304,,,,,,,,,,,
October 2010 Second Open Bidding Exercise,20/10/2010,2010,Cat C (Goods vehicles and buses),210,"$30,511",287,210,,,,,,,,,,,
October 2010 Second Open Bidding Exercise,20/10/2010,2010,Cat E (Open),311,"$44,900",455,287,,,,,,,,,,,
October 2010 First Open Bidding Exercise,06/10/2010,2010,Cat A (Cars up to 1600cc and 97kW),601,"$33,132",722,601,,,,,,,,,,,
October 2010 First Open Bidding Exercise,06/10/2010,2010,Cat B (Cars above 1600cc or 97kW),479,"$42,801",630,476,,,,,,,,,,,
October 2010 First Open Bidding Exercise,06/10/2010,2010,Cat D (Motorcycles),345,"$1,502",422,320,,,,,,,,,,,
October 2010 First Open Bidding Exercise,06/10/2010,2010,Cat C (Goods vehicles and buses),218,"$30,889",287,217,,,,,,,,,,,
October 2010 First Open Bidding Exercise,06/10/2010,2010,Cat E (Open),311,"$44,090",518,304,,,,,,,,,,,
September 2010 Second Open Bidding Exercise,22/09/2010,2010,Cat A (Cars up to 1600cc and 97kW),597,"$30,001",993,547,,,,,,,,,,,
September 2010 Second Open Bidding Exercise,22/09/2010,2010,Cat B (Cars above 1600cc or 97kW),488,"$42,501",648,488,,,,,,,,,,,
September 2010 Second Open Bidding Exercise,22/09/2010,2010,Cat D (Motorcycles),338,"$1,452",364,337,,,,,,,,,,,
September 2010 Second Open Bidding Exercise,22/09/2010,2010,Cat C (Goods vehicles and buses),206,"$31,001",271,201,,,,,,,,,,,
September 2010 Second Open Bidding Exercise,22/09/2010,2010,Cat E (Open),309,"$43,290",520,307,,,,,,,,,,,
September 2010 First Open Bidding Exercise,08/09/2010,2010,Cat A (Cars up to 1600cc and 97kW),631,"$33,089",775,628,,,,,,,,,,,
September 2010 First Open Bidding Exercise,08/09/2010,2010,Cat B (Cars above 1600cc or 97kW),479,"$44,129",757,479,,,,,,,,,,,
September 2010 First Open Bidding Exercise,08/09/2010,2010,Cat D (Motorcycles),342,"$1,502",453,329,,,,,,,,,,,
September 2010 First Open Bidding Exercise,08/09/2010,2010,Cat C (Goods vehicles and buses),204,"$33,000",291,190,,,,,,,,,,,
September 2010 First Open Bidding Exercise,08/09/2010,2010,Cat E (Open),310,"$44,001",460,308,,,,,,,,,,,
August 2010 Second Open Bidding Exercise,18/08/2010,2010,Cat A (Cars up to 1600cc and 97kW),606,"$29,000",975,606,,,,,,,,,,,
August 2010 Second Open Bidding Exercise,18/08/2010,2010,Cat B (Cars above 1600cc or 97kW),482,"$42,810",683,472,,,,,,,,,,,
August 2010 Second Open Bidding Exercise,18/08/2010,2010,Cat D (Motorcycles),335,"$1,251",369,330,,,,,,,,,,,
August 2010 Second Open Bidding Exercise,18/08/2010,2010,Cat C (Goods vehicles and buses),206,"$30,002",275,205,,,,,,,,,,,
August 2010 Second Open Bidding Exercise,18/08/2010,2010,Cat E (Open),315,"$43,501",583,315,,,,,,,,,,,
August 2010 First Open Bidding Exercise,04/08/2010,2010,Cat A (Cars up to 1600cc and 97kW),622,"$32,104",786,589,,,,,,,,,,,
August 2010 First Open Bidding Exercise,04/08/2010,2010,Cat B (Cars above 1600cc or 97kW),479,"$43,334",662,479,,,,,,,,,,,
August 2010 First Open Bidding Exercise,04/08/2010,2010,Cat D (Motorcycles),336,"$1,301",384,326,,,,,,,,,,,
August 2010 First Open Bidding Exercise,04/08/2010,2010,Cat C (Goods vehicles and buses),205,"$30,112",284,205,,,,,,,,,,,
August 2010 First Open Bidding Exercise,04/08/2010,2010,Cat E (Open),309,"$42,901",594,308,,,,,,,,,,,
July 2010 Second Open Bidding Exercise,21/07/2010,2010,Cat A (Cars up to 1600cc and 97kW),699,"$36,162",967,691,,,,,,,,,,,
July 2010 Second Open Bidding Exercise,21/07/2010,2010,Cat B (Cars above 1600cc or 97kW),552,"$42,889",890,548,,,,,,,,,,,
July 2010 Second Open Bidding Exercise,21/07/2010,2010,Cat D (Motorcycles),337,"$1,290",372,334,,,,,,,,,,,
July 2010 Second Open Bidding Exercise,21/07/2010,2010,Cat C (Goods vehicles and buses),183,"$30,601",285,182,,,,,,,,,,,
July 2010 Second Open Bidding Exercise,21/07/2010,2010,Cat E (Open),363,"$43,565",725,357,,,,,,,,,,,
July 2010 First Open Bidding Exercise,07/07/2010,2010,Cat A (Cars up to 1600cc and 97kW),700,"$29,501",893,676,,,,,,,,,,,
July 2010 First Open Bidding Exercise,07/07/2010,2010,Cat B (Cars above 1600cc or 97kW),557,"$35,909",671,557,,,,,,,,,,,
July 2010 First Open Bidding Exercise,07/07/2010,2010,Cat D (Motorcycles),351,"$1,320",476,347,,,,,,,,,,,
July 2010 First Open Bidding Exercise,07/07/2010,2010,Cat C (Goods vehicles and buses),177,"$31,389",277,176,,,,,,,,,,,
July 2010 First Open Bidding Exercise,07/07/2010,2010,Cat E (Open),399,"$41,010",660,399,,,,,,,,,,,
June 2010 Second Open Bidding Exercise,23/06/2010,2010,Cat A (Cars up to 1600cc and 97kW),699,"$31,510",902,697,,,,,,,,,,,
June 2010 Second Open Bidding Exercise,23/06/2010,2010,Cat B (Cars above 1600cc or 97kW),557,"$39,911",720,554,,,,,,,,,,,
June 2010 Second Open Bidding Exercise,23/06/2010,2010,Cat D (Motorcycles),340,"$1,454",376,339,,,,,,,,,,,
June 2010 Second Open Bidding Exercise,23/06/2010,2010,Cat C (Goods vehicles and buses),182,"$31,689",253,175,,,,,,,,,,,
June 2010 Second Open Bidding Exercise,23/06/2010,2010,Cat E (Open),362,"$41,006",682,359,,,,,,,,,,,
June 2010 First Open Bidding Exercise,09/06/2010,2010,Cat A (Cars up to 1600cc and 97kW),706,"$30,051","1,107",704,,,,,,,,,,,
June 2010 First Open Bidding Exercise,09/06/2010,2010,Cat B (Cars above 1600cc or 97kW),553,"$40,002",779,546,,,,,,,,,,,
June 2010 First Open Bidding Exercise,09/06/2010,2010,Cat D (Motorcycles),359,"$1,452",504,344,,,,,,,,,,,
June 2010 First Open Bidding Exercise,09/06/2010,2010,Cat C (Goods vehicles and buses),178,"$30,189",273,177,,,,,,,,,,,
June 2010 First Open Bidding Exercise,09/06/2010,2010,Cat E (Open),361,"$41,000",639,322,,,,,,,,,,,
May 2010 Second Open Bidding Exercise,19/05/2010,2010,Cat A (Cars up to 1600cc and 97kW),699,"$27,389","1,036",697,,,,,,,,,,,
May 2010 Second Open Bidding Exercise,19/05/2010,2010,Cat B (Cars above 1600cc or 97kW),561,"$34,600",715,553,,,,,,,,,,,
May 2010 Second Open Bidding Exercise,19/05/2010,2010,Cat D (Motorcycles),364,"$1,312",468,360,,,,,,,,,,,
May 2010 Second Open Bidding Exercise,19/05/2010,2010,Cat C (Goods vehicles and buses),176,"$29,389",296,170,,,,,,,,,,,
May 2010 Second Open Bidding Exercise,19/05/2010,2010,Cat E (Open),367,"$39,000",608,365,,,,,,,,,,,
May 2010 First Open Bidding Exercise,05/05/2010,2010,Cat A (Cars up to 1600cc and 97kW),806,"$26,102","1,294",798,,,,,,,,,,,
May 2010 First Open Bidding Exercise,05/05/2010,2010,Cat B (Cars above 1600cc or 97kW),550,"$38,000",869,547,,,,,,,,,,,
May 2010 First Open Bidding Exercise,05/05/2010,2010,Cat D (Motorcycles),340,"$1,252",415,317,,,,,,,,,,,
May 2010 First Open Bidding Exercise,05/05/2010,2010,Cat C (Goods vehicles and buses),189,"$32,501",329,187,,,,,,,,,,,
May 2010 First Open Bidding Exercise,05/05/2010,2010,Cat E (Open),404,"$39,002",857,403,,,,,,,,,,,
April 2010 Second Open Bidding Exercise,21/04/2010,2010,Cat A (Cars up to 1600cc and 97kW),706,"$30,000","1,242",704,,,,,,,,,,,
April 2010 Second Open Bidding Exercise,21/04/2010,2010,Cat B (Cars above 1600cc or 97kW),561,"$40,001",896,549,,,,,,,,,,,
April 2010 Second Open Bidding Exercise,21/04/2010,2010,Cat D (Motorcycles),339,"$1,253",383,311,,,,,,,,,,,
April 2010 Second Open Bidding Exercise,21/04/2010,2010,Cat C (Goods vehicles and buses),203,"$35,556",298,203,,,,,,,,,,,
April 2010 Second Open Bidding Exercise,21/04/2010,2010,Cat E (Open),390,"$43,003",709,383,,,,,,,,,,,
April 2010 First Open Bidding Exercise,07/04/2010,2010,Cat A (Cars up to 1600cc and 97kW),705,"$34,001","1,379",597,,,,,,,,,,,
April 2010 First Open Bidding Exercise,07/04/2010,2010,Cat B (Cars above 1600cc or 97kW),571,"$45,501",858,571,,,,,,,,,,,
April 2010 First Open Bidding Exercise,07/04/2010,2010,Cat D (Motorcycles),338,"$1,221",409,334,,,,,,,,,,,
April 2010 First Open Bidding Exercise,07/04/2010,2010,Cat C (Goods vehicles and buses),180,"$36,511",329,167,,,,,,,,,,,
April 2010 First Open Bidding Exercise,07/04/2010,2010,Cat E (Open),372,"$49,000",856,328,,,,,,,,,,,
March 2010 Second Open Bidding Exercise,24/03/2010,2010,Cat A (Cars up to 1600cc and 97kW),"1,146","$28,389","2,183","1,137",,,,,,,,,,,
March 2010 Second Open Bidding Exercise,24/03/2010,2010,Cat B (Cars above 1600cc or 97kW),711,"$36,089","1,207",699,,,,,,,,,,,
March 2010 Second Open Bidding Exercise,24/03/2010,2010,Cat D (Motorcycles),371,"$1,200",495,368,,,,,,,,,,,
March 2010 Second Open Bidding Exercise,24/03/2010,2010,Cat C (Goods vehicles and buses),168,"$32,890",341,141,,,,,,,,,,,
March 2010 Second Open Bidding Exercise,24/03/2010,2010,Cat E (Open),584,"$42,001","1,507",554,,,,,,,,,,,
March 2010 First Open Bidding Exercise,10/03/2010,2010,Cat A (Cars up to 1600cc and 97kW),"1,148","$20,802","1,758","1,141",,,,,,,,,,,
March 2010 First Open Bidding Exercise,10/03/2010,2010,Cat B (Cars above 1600cc or 97kW),688,"$26,389","1,087",667,,,,,,,,,,,
March 2010 First Open Bidding Exercise,10/03/2010,2010,Cat D (Motorcycles),385,"$1,159",467,383,,,,,,,,,,,
March 2010 First Open Bidding Exercise,10/03/2010,2010,Cat C (Goods vehicles and buses),168,"$27,001",257,164,,,,,,,,,,,
March 2010 First Open Bidding Exercise,10/03/2010,2010,Cat E (Open),587,"$27,590","1,184",575,,,,,,,,,,,
February 2010 Second Open Bidding Exercise,24/02/2010,2010,Cat A (Cars up to 1600cc and 97kW),"1,148","$20,340","1,493","1,148",,,,,,,,,,,
February 2010 Second Open Bidding Exercise,24/02/2010,2010,Cat B (Cars above 1600cc or 97kW),685,"$23,889",956,658,,,,,,,,,,,
February 2010 Second Open Bidding Exercise,24/02/2010,2010,Cat D (Motorcycles),363,"$1,001",472,355,,,,,,,,,,,
February 2010 Second Open Bidding Exercise,24/02/2010,2010,Cat C (Goods vehicles and buses),173,"$23,501",285,170,,,,,,,,,,,
February 2010 Second Open Bidding Exercise,24/02/2010,2010,Cat E (Open),590,"$24,229","1,255",587,,,,,,,,,,,
February 2010 First Open Bidding Exercise,03/02/2010,2010,Cat A (Cars up to 1600cc and 97kW),"1,154","$19,989","1,326","1,153",,,,,,,,,,,
February 2010 First Open Bidding Exercise,03/02/2010,2010,Cat B (Cars above 1600cc or 97kW),693,"$23,180",930,690,,,,,,,,,,,
February 2010 First Open Bidding Exercise,03/02/2010,2010,Cat D (Motorcycles),371,$852,525,349,,,,,,,,,,,
February 2010 First Open Bidding Exercise,03/02/2010,2010,Cat C (Goods vehicles and buses),165,"$21,390",250,162,,,,,,,,,,,
February 2010 First Open Bidding Exercise,03/02/2010,2010,Cat E (Open),601,"$22,401","1,069",596,,,,,,,,,,,
January 2010 Second Open Bidding Exercise,20/01/2010,2010,Cat A (Cars up to 1600cc and 97kW),"1,151","$20,501","1,673","1,149",,,,,,,,,,,
January 2010 Second Open Bidding Exercise,20/01/2010,2010,Cat B (Cars above 1600cc or 97kW),717,"$22,400","1,105",717,,,,,,,,,,,
January 2010 Second Open Bidding Exercise,20/01/2010,2010,Cat D (Motorcycles),378,$852,551,378,,,,,,,,,,,
January 2010 Second Open Bidding Exercise,20/01/2010,2010,Cat C (Goods vehicles and buses),181,"$20,090",280,173,,,,,,,,,,,
January 2010 Second Open Bidding Exercise,20/01/2010,2010,Cat E (Open),588,"$21,899","1,322",579,,,,,,,,,,,
January 2010 First Open Bidding Exercise,06/01/2010,2010,Cat A (Cars up to 1600cc and 97kW),"1,152","$18,502","1,342","1,145",,,,,,,,,,,
January 2010 First Open Bidding Exercise,06/01/2010,2010,Cat B (Cars above 1600cc or 97kW),687,"$19,190",883,679,,,,,,,,,,,
January 2010 First Open Bidding Exercise,06/01/2010,2010,Cat D (Motorcycles),373,$889,509,365,,,,,,,,,,,
January 2010 First Open Bidding Exercise,06/01/2010,2010,Cat C (Goods vehicles and buses),173,"$19,001",265,173,,,,,,,,,,,
January 2010 First Open Bidding Exercise,06/01/2010,2010,Cat E (Open),586,"$19,889","1,011",567,,,,,,,,,,,
December 2009 Second Open Bidding Exercise,23/12/2009,2009,Cat A (Cars up to 1600cc and 97kW),"1,150","$18,150","1,465","1,145",,,,,,,,,,,
December 2009 Second Open Bidding Exercise,23/12/2009,2009,Cat B (Cars above 1600cc or 97kW),697,"$17,889",816,665,,,,,,,,,,,
December 2009 Second Open Bidding Exercise,23/12/2009,2009,Cat D (Motorcycles),363,$851,447,348,,,,,,,,,,,
December 2009 Second Open Bidding Exercise,23/12/2009,2009,Cat C (Goods vehicles and buses),181,"$17,900",283,165,,,,,,,,,,,
December 2009 Second Open Bidding Exercise,23/12/2009,2009,Cat E (Open),582,"$17,889","1,005",575,,,,,,,,,,,
December 2009 First Open Bidding Exercise,09/12/2009,2009,Cat A (Cars up to 1600cc and 97kW),"1,151","$18,502","1,658","1,146",,,,,,,,,,,
December 2009 First Open Bidding Exercise,09/12/2009,2009,Cat B (Cars above 1600cc or 97kW),692,"$19,003",857,690,,,,,,,,,,,
December 2009 First Open Bidding Exercise,09/12/2009,2009,Cat D (Motorcycles),393,$854,515,383,,,,,,,,,,,
December 2009 First Open Bidding Exercise,09/12/2009,2009,Cat C (Goods vehicles and buses),167,"$18,289",334,159,,,,,,,,,,,
December 2009 First Open Bidding Exercise,09/12/2009,2009,Cat E (Open),589,"$18,509",850,585,,,,,,,,,,,
November 2009 Second Open Bidding Exercise,18/11/2009,2009,Cat A (Cars up to 1600cc and 97kW),"1,146","$17,189","1,261","1,142",,,,,,,,,,,
November 2009 Second Open Bidding Exercise,18/11/2009,2009,Cat B (Cars above 1600cc or 97kW),687,"$18,002",797,675,,,,,,,,,,,
November 2009 Second Open Bidding Exercise,18/11/2009,2009,Cat D (Motorcycles),363,$851,388,363,,,,,,,,,,,
November 2009 Second Open Bidding Exercise,18/11/2009,2009,Cat C (Goods vehicles and buses),165,"$17,000",257,149,,,,,,,,,,,
November 2009 Second Open Bidding Exercise,18/11/2009,2009,Cat E (Open),587,"$18,267",866,586,,,,,,,,,,,
November 2009 First Open Bidding Exercise,04/11/2009,2009,Cat A (Cars up to 1600cc and 97kW),"1,226","$16,747","1,395","1,222",,,,,,,,,,,
November 2009 First Open Bidding Exercise,04/11/2009,2009,Cat B (Cars above 1600cc or 97kW),704,"$18,389",779,697,,,,,,,,,,,
November 2009 First Open Bidding Exercise,04/11/2009,2009,Cat D (Motorcycles),380,$902,458,351,,,,,,,,,,,
November 2009 First Open Bidding Exercise,04/11/2009,2009,Cat C (Goods vehicles and buses),167,"$16,989",252,165,,,,,,,,,,,
November 2009 First Open Bidding Exercise,04/11/2009,2009,Cat E (Open),582,"$19,000",923,575,,,,,,,,,,,
October 2009 Second Open Bidding Exercise,21/10/2009,2009,Cat A (Cars up to 1600cc and 97kW),"1,149","$18,899","1,544","1,149",,,,,,,,,,,
October 2009 Second Open Bidding Exercise,21/10/2009,2009,Cat B (Cars above 1600cc or 97kW),688,"$19,510",832,686,,,,,,,,,,,
October 2009 Second Open Bidding Exercise,21/10/2009,2009,Cat D (Motorcycles),364,$931,435,364,,,,,,,,,,,
October 2009 Second Open Bidding Exercise,21/10/2009,2009,Cat C (Goods vehicles and buses),174,"$18,110",264,174,,,,,,,,,,,
October 2009 Second Open Bidding Exercise,21/10/2009,2009,Cat E (Open),592,"$19,901","1,082",586,,,,,,,,,,,
October 2009 First Open Bidding Exercise,07/10/2009,2009,Cat A (Cars up to 1600cc and 97kW),"1,151","$16,201","1,392","1,072",,,,,,,,,,,
October 2009 First Open Bidding Exercise,07/10/2009,2009,Cat B (Cars above 1600cc or 97kW),685,"$18,109",816,666,,,,,,,,,,,
October 2009 First Open Bidding Exercise,07/10/2009,2009,Cat D (Motorcycles),365,$902,429,349,,,,,,,,,,,
October 2009 First Open Bidding Exercise,07/10/2009,2009,Cat C (Goods vehicles and buses),167,"$21,692",241,165,,,,,,,,,,,
October 2009 First Open Bidding Exercise,07/10/2009,2009,Cat E (Open),584,"$21,301","1,062",584,,,,,,,,,,,
September 2009 Second Open Bidding Exercise,24/09/2009,2009,Cat A (Cars up to 1600cc and 97kW),"1,403","$15,589","1,527","1,400",,,,,,,,,,,
September 2009 Second Open Bidding Exercise,24/09/2009,2009,Cat B (Cars above 1600cc or 97kW),761,"$19,801",914,758,,,,,,,,,,,
September 2009 Second Open Bidding Exercise,24/09/2009,2009,Cat D (Motorcycles),407,$900,494,406,,,,,,,,,,,
September 2009 Second Open Bidding Exercise,24/09/2009,2009,Cat C (Goods vehicles and buses),237,"$15,000",345,228,,,,,,,,,,,
September 2009 Second Open Bidding Exercise,24/09/2009,2009,Cat E (Open),716,"$20,200","1,244",705,,,,,,,,,,,
September 2009 First Open Bidding Exercise,09/09/2009,2009,Cat A (Cars up to 1600cc and 97kW),"1,395","$18,020","1,844","1,391",,,,,,,,,,,
September 2009 First Open Bidding Exercise,09/09/2009,2009,Cat B (Cars above 1600cc or 97kW),767,"$19,289","1,003",767,,,,,,,,,,,
September 2009 First Open Bidding Exercise,09/09/2009,2009,Cat D (Motorcycles),405,"$1,051",460,404,,,,,,,,,,,
September 2009 First Open Bidding Exercise,09/09/2009,2009,Cat C (Goods vehicles and buses),231,"$16,001",404,230,,,,,,,,,,,
September 2009 First Open Bidding Exercise,09/09/2009,2009,Cat E (Open),722,"$19,830","1,227",720,,,,,,,,,,,
August 2009 Second Open Bidding Exercise,19/08/2009,2009,Cat A (Cars up to 1600cc and 97kW),"1,395","$15,019","1,567","1,387",,,,,,,,,,,
August 2009 Second Open Bidding Exercise,19/08/2009,2009,Cat B (Cars above 1600cc or 97kW),785,"$16,290",889,784,,,,,,,,,,,
August 2009 Second Open Bidding Exercise,19/08/2009,2009,Cat D (Motorcycles),390,$882,541,373,,,,,,,,,,,
August 2009 Second Open Bidding Exercise,19/08/2009,2009,Cat C (Goods vehicles and buses),235,"$17,501",348,229,,,,,,,,,,,
August 2009 Second Open Bidding Exercise,19/08/2009,2009,Cat E (Open),721,"$17,905","1,187",721,,,,,,,,,,,
August 2009 First Open Bidding Exercise,05/08/2009,2009,Cat A (Cars up to 1600cc and 97kW),"1,395","$13,658","1,558","1,395",,,,,,,,,,,
August 2009 First Open Bidding Exercise,05/08/2009,2009,Cat B (Cars above 1600cc or 97kW),762,"$18,890",934,755,,,,,,,,,,,
August 2009 First Open Bidding Exercise,05/08/2009,2009,Cat D (Motorcycles),393,$902,462,378,,,,,,,,,,,
August 2009 First Open Bidding Exercise,05/08/2009,2009,Cat C (Goods vehicles and buses),242,"$18,801",296,242,,,,,,,,,,,
August 2009 First Open Bidding Exercise,05/08/2009,2009,Cat E (Open),743,"$19,629","1,224",737,,,,,,,,,,,
July 2009 Second Open Bidding Exercise,22/07/2009,2009,Cat A (Cars up to 1600cc and 97kW),"1,408","$15,291","1,603","1,408",,,,,,,,,,,
July 2009 Second Open Bidding Exercise,22/07/2009,2009,Cat B (Cars above 1600cc or 97kW),762,"$18,501",992,737,,,,,,,,,,,
July 2009 Second Open Bidding Exercise,22/07/2009,2009,Cat D (Motorcycles),396,$889,428,396,,,,,,,,,,,
July 2009 Second Open Bidding Exercise,22/07/2009,2009,Cat C (Goods vehicles and buses),232,"$17,410",376,228,,,,,,,,,,,
July 2009 Second Open Bidding Exercise,22/07/2009,2009,Cat E (Open),716,"$18,189","1,352",711,,,,,,,,,,,
July 2009 First Open Bidding Exercise,08/07/2009,2009,Cat A (Cars up to 1600cc and 97kW),"1,405","$14,310","1,655","1,405",,,,,,,,,,,
July 2009 First Open Bidding Exercise,08/07/2009,2009,Cat B (Cars above 1600cc or 97kW),780,"$16,801","1,052",778,,,,,,,,,,,
July 2009 First Open Bidding Exercise,08/07/2009,2009,Cat D (Motorcycles),422,$900,504,419,,,,,,,,,,,
July 2009 First Open Bidding Exercise,08/07/2009,2009,Cat C (Goods vehicles and buses),233,"$16,888",289,222,,,,,,,,,,,
July 2009 First Open Bidding Exercise,08/07/2009,2009,Cat E (Open),720,"$17,501","1,278",693,,,,,,,,,,,
June 2009 Second Open Bidding Exercise,17/06/2009,2009,Cat A (Cars up to 1600cc and 97kW),"1,415","$12,899","1,735","1,402",,,,,,,,,,,
June 2009 Second Open Bidding Exercise,17/06/2009,2009,Cat B (Cars above 1600cc or 97kW),760,"$14,840","1,066",758,,,,,,,,,,,
June 2009 Second Open Bidding Exercise,17/06/2009,2009,Cat D (Motorcycles),405,$901,571,399,,,,,,,,,,,
June 2009 Second Open Bidding Exercise,17/06/2009,2009,Cat C (Goods vehicles and buses),241,"$12,615",398,240,,,,,,,,,,,
June 2009 Second Open Bidding Exercise,17/06/2009,2009,Cat E (Open),717,"$15,100","1,516",717,,,,,,,,,,,
June 2009 First Open Bidding Exercise,03/06/2009,2009,Cat A (Cars up to 1600cc and 97kW),"1,401","$11,690","1,967","1,391",,,,,,,,,,,
June 2009 First Open Bidding Exercise,03/06/2009,2009,Cat B (Cars above 1600cc or 97kW),760,"$11,889","1,131",740,,,,,,,,,,,
June 2009 First Open Bidding Exercise,03/06/2009,2009,Cat D (Motorcycles),406,$889,472,374,,,,,,,,,,,
June 2009 First Open Bidding Exercise,03/06/2009,2009,Cat C (Goods vehicles and buses),237,"$9,690",321,235,,,,,,,,,,,
June 2009 First Open Bidding Exercise,03/06/2009,2009,Cat E (Open),719,"$12,901","1,335",715,,,,,,,,,,,
May 2009 Second Open Bidding Exercise,20/05/2009,2009,Cat A (Cars up to 1600cc and 97kW),"1,402","$9,889","1,999","1,383",,,,,,,,,,,
May 2009 Second Open Bidding Exercise,20/05/2009,2009,Cat B (Cars above 1600cc or 97kW),774,"$9,180","1,051",774,,,,,,,,,,,
May 2009 Second Open Bidding Exercise,20/05/2009,2009,Cat D (Motorcycles),393,$810,535,378,,,,,,,,,,,
May 2009 Second Open Bidding Exercise,20/05/2009,2009,Cat C (Goods vehicles and buses),238,"$7,600",320,228,,,,,,,,,,,
May 2009 Second Open Bidding Exercise,20/05/2009,2009,Cat E (Open),725,"$10,046","1,285",724,,,,,,,,,,,
May 2009 First Open Bidding Exercise,06/05/2009,2009,Cat A (Cars up to 1600cc and 97kW),"1,396","$8,489","2,037","1,391",,,,,,,,,,,
May 2009 First Open Bidding Exercise,06/05/2009,2009,Cat B (Cars above 1600cc or 97kW),814,"$7,552","1,021",814,,,,,,,,,,,
May 2009 First Open Bidding Exercise,06/05/2009,2009,Cat D (Motorcycles),392,$902,569,376,,,,,,,,,,,
