Bidding Exercise,Announcement Date,Year,Category,Quota,Quota Premium,Total Bids Received,Number of Successful Bids,,,,,,,,,,,
March 2021 First Open Bidding Exercise,03/03/2021,2021,Cat A (Cars up to 1600cc and 97kW),887,"$41,996","1,175",887,,,,,,,,,,,
March 2021 First Open Bidding Exercise,03/03/2021,2021,Cat B (Cars above 1600cc or 97kW),942,"$45,001","1,121",926,,,,,,,,,,,
March 2021 First Open Bidding Exercise,03/03/2021,2021,Cat C (Goods vehicles and buses),255,"$37,513",480,248,,,,,,,,,,,
March 2021 First Open Bidding Exercise,03/03/2021,2021,Cat D (Motorcycles),542,"$7,752",707,524,,,,,,,,,,,
March 2021 First Open Bidding Exercise,03/03/2021,2021,Cat E (Open),296,"$47,001",450,296,,,,,,,,,,,
February 2021 Second Open Bidding Exercise,17/02/2021,2021,Cat A (Cars up to 1600cc and 97kW),903,"$41,001","1,226",900,,,,,,,,,,,
February 2021 Second Open Bidding Exercise,17/02/2021,2021,Cat B (Cars above 1600cc or 97kW),942,"$46,002","1,168",938,,,,,,,,,,,
February 2021 Second Open Bidding Exercise,17/02/2021,2021,Cat C (Goods vehicles and buses),259,"$40,890",424,223,,,,,,,,,,,
February 2021 Second Open Bidding Exercise,17/02/2021,2021,Cat D (Motorcycles),554,"$7,500",715,554,,,,,,,,,,,
February 2021 Second Open Bidding Exercise,17/02/2021,2021,Cat E (Open),304,"$47,506",503,302,,,,,,,,,,,
February 2021 First Open Bidding Exercise,03/02/2021,2021,Cat A (Cars up to 1600cc and 97kW),885,"$42,000","1,098",881,,,,,,,,,,,
February 2021 First Open Bidding Exercise,03/02/2021,2021,Cat B (Cars above 1600cc or 97kW),943,"$46,790","1,107",943,,,,,,,,,,,
February 2021 First Open Bidding Exercise,03/02/2021,2021,Cat C (Goods vehicles and buses),276,"$45,001",510,276,,,,,,,,,,,
February 2021 First Open Bidding Exercise,03/02/2021,2021,Cat D (Motorcycles),572,"$7,506",705,572,,,,,,,,,,,
February 2021 First Open Bidding Exercise,03/02/2021,2021,Cat E (Open),300,"$49,778",435,300,,,,,,,,,,,
January 2021 Second Open Bidding Exercise,20/01/2021,2021,Cat A (Cars up to 1600cc and 97kW),963,"$40,609","1,280",962,,,,,,,,,,,
January 2021 Second Open Bidding Exercise,20/01/2021,2021,Cat B (Cars above 1600cc or 97kW),"1,023","$49,001","1,396","1,021",,,,,,,,,,,
January 2021 Second Open Bidding Exercise,20/01/2021,2021,Cat C (Goods vehicles and buses),372,"$35,900",679,352,,,,,,,,,,,
January 2021 Second Open Bidding Exercise,20/01/2021,2021,Cat D (Motorcycles),529,"$7,501",692,498,,,,,,,,,,,
January 2021 Second Open Bidding Exercise,20/01/2021,2021,Cat E (Open),467,"$49,489",758,463,,,,,,,,,,,
January 2021 First Open Bidding Exercise,06/01/2021,2021,Cat A (Cars up to 1600cc and 97kW),963,"$40,609","1,280",962,,,,,,,,,,,
January 2021 First Open Bidding Exercise,06/01/2021,2021,Cat B (Cars above 1600cc or 97kW),"1,023","$49,001","1,396","1,021",,,,,,,,,,,
January 2021 First Open Bidding Exercise,06/01/2021,2021,Cat C (Goods vehicles and buses),372,"$35,900",679,352,,,,,,,,,,,
January 2021 First Open Bidding Exercise,06/01/2021,2021,Cat D (Motorcycles),529,"$7,501",692,498,,,,,,,,,,,
January 2021 First Open Bidding Exercise,06/01/2021,2021,Cat E (Open),467,"$49,489",758,463,,,,,,,,,,,
December 2020 Second Open Bidding Exercise,23/12/2020,2020,Cat A (Cars up to 1600cc and 97kW),969,"$40,556","1,403",966,,,,,,,,,,,
December 2020 Second Open Bidding Exercise,23/12/2020,2020,Cat B (Cars above 1600cc or 97kW),"1,009","$49,300","1,631",998,,,,,,,,,,,
December 2020 Second Open Bidding Exercise,23/12/2020,2020,Cat C (Goods vehicles and buses),369,"$35,201",640,355,,,,,,,,,,,
December 2020 Second Open Bidding Exercise,23/12/2020,2020,Cat D (Motorcycles),530,"$7,689",710,507,,,,,,,,,,,
December 2020 Second Open Bidding Exercise,23/12/2020,2020,Cat E (Open),471,"$49,500",688,469,,,,,,,,,,,
December 2020 First Open Bidding Exercise,09/12/2020,2020,Cat A (Cars up to 1600cc and 97kW),978,"$40,714","1,620",978,,,,,,,,,,,
December 2020 First Open Bidding Exercise,09/12/2020,2020,Cat B (Cars above 1600cc or 97kW),"1,035","$45,012","1,712","1,019",,,,,,,,,,,
December 2020 First Open Bidding Exercise,09/12/2020,2020,Cat C (Goods vehicles and buses),368,"$32,889",599,363,,,,,,,,,,,
December 2020 First Open Bidding Exercise,09/12/2020,2020,Cat D (Motorcycles),526,"$7,670",767,522,,,,,,,,,,,
December 2020 First Open Bidding Exercise,09/12/2020,2020,Cat E (Open),464,"$45,510",722,461,,,,,,,,,,,
November 2020 Second Open Bidding Exercise,18/11/2020,2020,Cat A (Cars up to 1600cc and 97kW),972,"$37,690","1,361",966,,,,,,,,,,,
November 2020 Second Open Bidding Exercise,18/11/2020,2020,Cat B (Cars above 1600cc or 97kW),"1,007","$41,101","1,559","1,006",,,,,,,,,,,
November 2020 Second Open Bidding Exercise,18/11/2020,2020,Cat C (Goods vehicles and buses),369,"$30,334",597,367,,,,,,,,,,,
November 2020 Second Open Bidding Exercise,18/11/2020,2020,Cat D (Motorcycles),537,"$7,300",679,532,,,,,,,,,,,
November 2020 Second Open Bidding Exercise,18/11/2020,2020,Cat E (Open),520,"$41,503",803,512,,,,,,,,,,,
November 2020 First Open Bidding Exercise,04/11/2020,2020,Cat A (Cars up to 1600cc and 97kW),967,"$35,990","1,262",952,,,,,,,,,,,
November 2020 First Open Bidding Exercise,04/11/2020,2020,Cat B (Cars above 1600cc or 97kW),"1,013","$39,000","1,415",985,,,,,,,,,,,
November 2020 First Open Bidding Exercise,04/11/2020,2020,Cat C (Goods vehicles and buses),370,"$31,502",558,370,,,,,,,,,,,
November 2020 First Open Bidding Exercise,04/11/2020,2020,Cat D (Motorcycles),533,"$7,251",727,532,,,,,,,,,,,
November 2020 First Open Bidding Exercise,04/11/2020,2020,Cat E (Open),464,"$39,500",683,463,,,,,,,,,,,
October 2020 Second Open Bidding Exercise,21/10/2020,2020,Cat A (Cars up to 1600cc and 97kW),916,"$37,334","1,323",907,,,,,,,,,,,
October 2020 Second Open Bidding Exercise,21/10/2020,2020,Cat B (Cars above 1600cc or 97kW),793,"$40,990","1,272",793,,,,,,,,,,,
October 2020 Second Open Bidding Exercise,21/10/2020,2020,Cat C (Goods vehicles and buses),316,"$33,778",538,315,,,,,,,,,,,
October 2020 Second Open Bidding Exercise,21/10/2020,2020,Cat D (Motorcycles),423,"$7,300",560,410,,,,,,,,,,,
October 2020 Second Open Bidding Exercise,21/10/2020,2020,Cat E (Open),430,"$39,889",672,373,,,,,,,,,,,
October 2020 First Open Bidding Exercise,07/10/2020,2020,Cat A (Cars up to 1600cc and 97kW),912,"$36,534","1,272",907,,,,,,,,,,,
October 2020 First Open Bidding Exercise,07/10/2020,2020,Cat B (Cars above 1600cc or 97kW),805,"$40,690","1,218",800,,,,,,,,,,,
October 2020 First Open Bidding Exercise,07/10/2020,2020,Cat C (Goods vehicles and buses),316,"$33,089",587,314,,,,,,,,,,,
October 2020 First Open Bidding Exercise,07/10/2020,2020,Cat D (Motorcycles),429,"$7,451",677,420,,,,,,,,,,,
October 2020 First Open Bidding Exercise,07/10/2020,2020,Cat E (Open),427,"$40,301",688,426,,,,,,,,,,,
September 2020 Second Open Bidding Exercise,23/09/2020,2020,Cat A (Cars up to 1600cc and 97kW),"1,034","$38,504","1,540","1,031",,,,,,,,,,,
September 2020 Second Open Bidding Exercise,23/09/2020,2020,Cat B (Cars above 1600cc or 97kW),912,"$40,989","1,497",912,,,,,,,,,,,
September 2020 Second Open Bidding Exercise,23/09/2020,2020,Cat C (Goods vehicles and buses),351,"$28,589",591,346,,,,,,,,,,,
September 2020 Second Open Bidding Exercise,23/09/2020,2020,Cat D (Motorcycles),494,"$7,331",642,492,,,,,,,,,,,
September 2020 Second Open Bidding Exercise,23/09/2020,2020,Cat E (Open),471,"$41,001",671,468,,,,,,,,,,,
September 2020 First Open Bidding Exercise,09/09/2020,2020,Cat A (Cars up to 1600cc and 97kW),"1,035","$37,766","1,737","1,035",,,,,,,,,,,
September 2020 First Open Bidding Exercise,09/09/2020,2020,Cat B (Cars above 1600cc or 97kW),904,"$41,510","1,715",892,,,,,,,,,,,
September 2020 First Open Bidding Exercise,09/09/2020,2020,Cat C (Goods vehicles and buses),354,"$26,644",525,350,,,,,,,,,,,
September 2020 First Open Bidding Exercise,09/09/2020,2020,Cat D (Motorcycles),496,"$7,399",691,488,,,,,,,,,,,
September 2020 First Open Bidding Exercise,09/09/2020,2020,Cat E (Open),470,"$40,790",672,470,,,,,,,,,,,
August 2020 Second Open Bidding Exercise,19/08/2020,2020,Cat A (Cars up to 1600cc and 97kW),"1,034","$35,710","2,099","1,019",,,,,,,,,,,
August 2020 Second Open Bidding Exercise,19/08/2020,2020,Cat B (Cars above 1600cc or 97kW),923,"$38,802","1,727",912,,,,,,,,,,,
August 2020 Second Open Bidding Exercise,19/08/2020,2020,Cat C (Goods vehicles and buses),357,"$25,006",586,356,,,,,,,,,,,
August 2020 Second Open Bidding Exercise,19/08/2020,2020,Cat D (Motorcycles),495,"$7,432",797,491,,,,,,,,,,,
August 2020 Second Open Bidding Exercise,19/08/2020,2020,Cat E (Open),474,"$38,110",764,467,,,,,,,,,,,
August 2020 First Open Bidding Exercise,05/08/2020,2020,Cat A (Cars up to 1600cc and 97kW),"1,022","$33,000","2,047","1,007",,,,,,,,,,,
August 2020 First Open Bidding Exercise,05/08/2020,2020,Cat B (Cars above 1600cc or 97kW),932,"$37,102","1,985",928,,,,,,,,,,,
August 2020 First Open Bidding Exercise,05/08/2020,2020,Cat C (Goods vehicles and buses),358,"$24,100",658,354,,,,,,,,,,,
August 2020 First Open Bidding Exercise,05/08/2020,2020,Cat D (Motorcycles),503,"$7,701",720,497,,,,,,,,,,,
August 2020 First Open Bidding Exercise,05/08/2020,2020,Cat E (Open),472,"$36,502",784,466,,,,,,,,,,,
July 2020 Second Open Bidding Exercise,22/07/2020,2020,Cat A (Cars up to 1600cc and 97kW),"1,304","$32,699","2,485","1,290",,,,,,,,,,,
July 2020 Second Open Bidding Exercise,22/07/2020,2020,Cat B (Cars above 1600cc or 97kW),"1,339","$35,001","2,497","1,316",,,,,,,,,,,
July 2020 Second Open Bidding Exercise,22/07/2020,2020,Cat C (Goods vehicles and buses),489,"$23,888",759,482,,,,,,,,,,,
July 2020 Second Open Bidding Exercise,22/07/2020,2020,Cat D (Motorcycles),869,"$6,510","1,355",864,,,,,,,,,,,
July 2020 Second Open Bidding Exercise,22/07/2020,2020,Cat E (Open),448,"$35,001",714,438,,,,,,,,,,,
July 2020 First Open Bidding Exercise,08/07/2020,2020,Cat A (Cars up to 1600cc and 97kW),"1,289","$33,520","3,061","1,286",,,,,,,,,,,
July 2020 First Open Bidding Exercise,08/07/2020,2020,Cat B (Cars above 1600cc or 97kW),"1,291","$35,889","3,160","1,260",,,,,,,,,,,
July 2020 First Open Bidding Exercise,08/07/2020,2020,Cat C (Goods vehicles and buses),489,"$24,502",866,481,,,,,,,,,,,
July 2020 First Open Bidding Exercise,08/07/2020,2020,Cat D (Motorcycles),869,"$7,702","1,611",856,,,,,,,,,,,
July 2020 First Open Bidding Exercise,08/07/2020,2020,Cat E (Open),444,"$34,989",937,436,,,,,,,,,,,
March 2020 Second Open Bidding Exercise,18/03/2020,2020,Cat A (Cars up to 1600cc and 97kW),982,"$31,210","1,421",962,,,,,,,,,,,
March 2020 Second Open Bidding Exercise,18/03/2020,2020,Cat B (Cars above 1600cc or 97kW),992,"$30,012","1,366",943,,,,,,,,,,,
March 2020 Second Open Bidding Exercise,18/03/2020,2020,Cat C (Goods vehicles and buses),448,"$22,002",708,448,,,,,,,,,,,
March 2020 Second Open Bidding Exercise,18/03/2020,2020,Cat D (Motorcycles),581,"$4,489",757,576,,,,,,,,,,,
March 2020 Second Open Bidding Exercise,18/03/2020,2020,Cat E (Open),331,"$32,500",503,324,,,,,,,,,,,
March 2020 First Open Bidding Exercise,04/03/2020,2020,Cat A (Cars up to 1600cc and 97kW),978,"$32,699","1,436",973,,,,,,,,,,,
March 2020 First Open Bidding Exercise,04/03/2020,2020,Cat B (Cars above 1600cc or 97kW),987,"$32,801","1,347",987,,,,,,,,,,,
March 2020 First Open Bidding Exercise,04/03/2020,2020,Cat C (Goods vehicles and buses),315,"$24,202",504,315,,,,,,,,,,,
March 2020 First Open Bidding Exercise,04/03/2020,2020,Cat D (Motorcycles),593,"$4,310",785,587,,,,,,,,,,,
March 2020 First Open Bidding Exercise,04/03/2020,2020,Cat E (Open),333,"$32,500",512,331,,,,,,,,,,,
February 2020 Second Open Bidding Exercise,19/02/2020,2020,Cat A (Cars up to 1600cc and 97kW),982,"$32,999","1,564",973,,,,,,,,,,,
February 2020 Second Open Bidding Exercise,19/02/2020,2020,Cat B (Cars above 1600cc or 97kW),987,"$32,889","1,459",978,,,,,,,,,,,
February 2020 Second Open Bidding Exercise,19/02/2020,2020,Cat C (Goods vehicles and buses),352,"$25,001",561,219,,,,,,,,,,,
February 2020 Second Open Bidding Exercise,19/02/2020,2020,Cat D (Motorcycles),577,"$4,309",729,574,,,,,,,,,,,
February 2020 Second Open Bidding Exercise,19/02/2020,2020,Cat E (Open),328,"$33,301",550,324,,,,,,,,,,,
February 2020 First Open Bidding Exercise,05/02/2020,2020,Cat A (Cars up to 1600cc and 97kW),982,"$30,010","1,204",977,,,,,,,,,,,
February 2020 First Open Bidding Exercise,05/02/2020,2020,Cat B (Cars above 1600cc or 97kW),984,"$30,890","1,173",980,,,,,,,,,,,
February 2020 First Open Bidding Exercise,05/02/2020,2020,Cat C (Goods vehicles and buses),314,"$25,013",504,314,,,,,,,,,,,
February 2020 First Open Bidding Exercise,05/02/2020,2020,Cat D (Motorcycles),578,"$4,401",821,562,,,,,,,,,,,
February 2020 First Open Bidding Exercise,05/02/2020,2020,Cat E (Open),335,"$34,900",525,330,,,,,,,,,,,
